#;Foldername;Flight Field ID;Project;Route type (MS, 3D, Thermal, RGB);Drone Model;Drone Pilot;Reflectance Panel (New/Old);Flight Date;Flight Start;Flight End;Wind Speed;Flight Comments;Step 1 P4D Proj.;Done by;Workable Data;P4D Processing;Done by;PC Used;Processing Comments;Flight Height;Side Overlap;Front Overlap;Wind (m/s);Drone type;New folder name;Root Folder;Flight path;Pix4D path
35;DJI_202504251159_002_25-PROBARVOLL-01-RGB-Horizontal-20m-8085;ProBarVoll;ProteinBar - Vollebekk;3D;M3M-2;;;25-Apr-2025;;;;;;;;;;;;20m;85;80;;M3M-2;20250425 ProBarVoll M3M-2 20m 3D 85 80;P:\PheNo\ProteinBar\1_flights\ProBarVoll\3D\;P:\PheNo\ProteinBar\1_flights\ProBarVoll\3D\20250425 ProBarVoll M3M-2 20m 3D 85 80;P:\PheNo\ProteinBar\2_1_pix4d\ProBarVoll\3D\20250425 ProBarVoll M3M-2 20m 3D 85 80
36;DJI_202504251344_017_25-PROBARVOLL-Oblique-20m-8085;ProBarVoll;ProteinBar - Vollebekk;3D;M3M-2;;;25-Apr-2025;;;;2nd flight - Oblique;;;;;;;;20m;85;80;;M3M-2;20250425 ProBarVoll M3M-2 20m 3D 85 80;P:\PheNo\ProteinBar\1_flights\ProBarVoll\3D\;P:\PheNo\ProteinBar\1_flights\ProBarVoll\3D\20250425 ProBarVoll M3M-2 20m 3D 85 80;P:\PheNo\ProteinBar\2_1_pix4d\ProBarVoll\3D\20250425 ProBarVoll M3M-2 20m 3D 85 80
37;DJI_202504251221_006_25-PROBARVOLL-MS-20m-8085;ProBarVoll;ProteinBar - Vollebekk;MS;M3M-2;;;25-Apr-2025;;;;;;;;;;;;20m;85;80;;M3M-2;20250425 ProBarVoll M3M-2 20m MS 85 80;P:\PheNo\ProteinBar\1_flights\ProBarVoll\MS\;P:\PheNo\ProteinBar\1_flights\ProBarVoll\MS\20250425 ProBarVoll M3M-2 20m MS 85 80;P:\PheNo\ProteinBar\2_1_pix4d\ProBarVoll\MS\20250425 ProBarVoll M3M-2 20m MS 85 80
38;DJI_202504301144_001_Vollebekk;Vollebekk;Vollebekk;RGB;M4T;;;30-Apr-2025;;;;;;;;;;;;120m;75;70;;M4T;20250430 Vollebekk M4T 120m RGB 75 70;P:\PheNo\Vollebekk\1_flights\Vollebekk\RGB\;P:\PheNo\Vollebekk\1_flights\Vollebekk\RGB\20250430 Vollebekk M4T 120m RGB 75 70;P:\PheNo\Vollebekk\2_1_pix4d\Vollebekk\RGB\20250430 Vollebekk M4T 120m RGB 75 70
39;DJI_202504301144_001_Vollebekk;Vollebekk;Vollebekk;Thermal;M4T;;;30-Apr-2025;;;;;;;;;;;;120m;75;70;;M4T;20250430 Vollebekk M4T 120m Thermal 75 70;#I/T;#I/T;#I/T
40;DJI_202505051253_001_25-DLTFarming-Vertical-20m-80-85;RyeGrass;DLT-Farming;3D;M3M-1;;;5-May-2025;;;;;;;;;;;;20m;80;85;;M3M-1;20250505 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250505 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250505 RyeGrass M3M-1 20m 3D 80 85
41;DJI_202505061153_006_25-DLTFarming-oblique-20m-80-85;RyeGrass;DLT-Farming;3D;M3M-1;;;6-May-2025;;;;;;;;;;;;20m;80;85;;M3M-1;20250506 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250506 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250506 RyeGrass M3M-1 20m 3D 80 85
42;DJI_202505061122_003_25-DLTFarming-MS-20m-80-85;RyeGrass;DLT-Farming;MS;M3M-1;;;6-May-2025;;;;;;;;;;;;20m;80;85;;M3M-1;20250506 RyeGrass M3M-1 20m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250506 RyeGrass M3M-1 20m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250506 RyeGrass M3M-1 20m MS 80 85
43;DJI_202505061125_004_25-SmartWheatBox-Horizontal-20m-80-85;SmartWheatBox;SmartWheat - DroughtBOX;3D;M3M-2;;;6-May-2025;;;;;;;;;;;;20m;80;85;;M3M-2;20250506 SmartWheatBox M3M-2 20m 3D 80 85;P:\PheNo\SmartWheat\1_flights\SmartWheatBox\3D\;P:\PheNo\SmartWheat\1_flights\SmartWheatBox\3D\20250506 SmartWheatBox M3M-2 20m 3D 80 85;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatBox\3D\20250506 SmartWheatBox M3M-2 20m 3D 80 85
44;DJI_202505061153_007_25-SmartWheatGram-Horizontal-20m-80-85;SmartWheatGram;SmartWheat - Graminor;3D;M3M-1;;;6-May-2025;;;;;;;;;;;;20m;85;80;;M3M-1;20250506 SmartWheatGram M3M-1 20m 3D 85 80;P:\PheNo\SmartWheat\1_flights\SmartWheatGram\3D\;P:\PheNo\SmartWheat\1_flights\SmartWheatGram\3D\20250506 SmartWheatGram M3M-1 20m 3D 85 80;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatGram\3D\20250506 SmartWheatGram M3M-1 20m 3D 85 80
